Search_Rank,MIM_Raw,MIM_ID,Entry_Prefix,Title,Included_Titles,Relation_Class,Mechanism_Tag,Age_Scope,Hemorrhagic_Flag,Venous_Predominant_Flag,Gene_Phenotype_Link_Status,Linked_Gene_Symbols,Target_Eligible_Strict,Decision,Reason,Evidence_URL
163,#612937,612937,#,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 15; MDDGC15",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
166,#306700,306700,#,HEMOPHILIA A; HEMA,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
171,#274150,274150,#,"THROMBOTIC THROMBOCYTOPENIC PURPURA, HEREDITARY; TTP",,Extended_etiologic_record,microangiopathy,Mixed,false,false,verified_phenotype_gene_link,ADAMTS13,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/11093
172,#192315,192315,#,"VASCULOPATHY, RETINAL, WITH CEREBRAL LEUKOENCEPHALOPATHY AND SYSTEMIC MANIFESTATIONS; RVCLS",,Extended_etiologic_record,systemic_microvasculopathy,Adult,true,false,verified_phenotype_gene_link,TREX1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/11277
175,#617347,617347,#,"HYPERLIPOPROTEINEMIA, TYPE III","CORONARY ARTERY DISEASE, SEVERE, SUSCEPTIBILITY TO, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
176,#615511,615511,#,MYOPATHY DUE TO MYOADENYLATE DEAMINASE DEFICIENCY; MMDD,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
178,#105150,105150,#,"CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED",,Excluded,arteriopathy_or_small_vessel,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
179,%605552,605552,%,ABDOMINAL OBESITY-METABOLIC SYNDROME 1; AOMS1,"ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
180,608223,608223,,ASPIRIN RESISTANCE,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
181,#115197,115197,#,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4; CMH4","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4, SUSCEPTIBILITY TO, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
182,#621331,621331,#,BRAIN SMALL VESSEL DISEASE 5 WITH OSTEOPOROSIS; BSVD5,,Primary_evidence_record,arteriopathy,Adult,true,false,verified_phenotype_gene_link,ARHGEF15,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/22899
186,#145500,145500,#,"HYPERTENSION, ESSENTIAL",,Excluded,upstream_hypertension,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
190,#611773,611773,#,"ANGIOPATHY, HEREDITARY, WITH NEPHROPATHY, ANEURYSMS, AND MUSCLE CRAMPS; HANAC",,Extended_etiologic_record,mixed_small_vessel,Mixed,true,false,verified_phenotype_gene_link,COL4A1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/books/NBK7046/
191,#619872,619872,#,IMMUNODEFICIENCY 101 (VARICELLA ZOSTER VIRUS-SPECIFIC); IMD101,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
193,#176670,176670,#,HUTCHINSON-GILFORD PROGERIA SYNDROME; HGPS,"PROGERIA SYNDROME, CHILDHOOD-ONSET, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
195,#236250,236250,#,"HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY","MTHFR DEFICIENCY, THERMOLABILE TYPE, INCLUDED",Extended_etiologic_record,metabolic_thrombosis,Mixed,false,false,verified_phenotype_gene_link,MTHFR,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/4524
196,#311250,311250,#,"ORNITHINE TRANSCARBAMYLASE DEFICIENCY, HYPERAMMONEMIA DUE TO",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
202,#235400,235400,#,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1","HEMOLYTIC UREMIC SYNDROME, TYPICAL, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
209,#210200,210200,#,3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY; MCC1D,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
215,#266150,266150,#,PYRUVATE CARBOXYLASE DEFICIENCY,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
216,#611126,611126,#,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 20; MC1DN20",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
219,#618567,618567,#,MITOCHONDRIAL DNA DEPLETION SYNDROME 17; MTDPS17,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
220,#185300,185300,#,STURGE-WEBER SYNDROME; SWS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
221,#600376,600376,#,"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 2; HHT2","PULMONARY ARTERIAL HYPERTENSION, HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,以出血性脑血管病或血管畸形为主，排除AIS主线,
222,#615761,615761,#,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
223,#616028,616028,#,ADAMS-OLIVER SYNDROME 5; AOS5,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
224,%610655,610655,%,"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 4; HHT4",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,以出血性脑血管病或血管畸形为主，排除AIS主线,
229,#618463,618463,#,"HYPOALPHALIPOPROTEINEMIA, PRIMARY, 2",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
230,#143470,143470,#,HYPERALPHALIPOPROTEINEMIA 1; HALP1,"HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 10, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
231,#617159,617159,#,SIFRIM-HITZ-WEISS SYNDROME; SIHIWES,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
232,#618807,618807,#,LIPOPROTEIN(a) QUANTITATIVE TRAIT LOCUS; LPAQTL,"LIPOPROTEIN(a) DEFICIENCY, CONGENITAL, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
233,%608583,608583,%,"ATRIAL FIBRILLATION, FAMILIAL, 1; ATFB1",,Extended_etiologic_record,cardioembolic_upstream,Not_assigned,false,false,etiologic_record_without_target_extraction,,false,Retain_as_evidence_record,保留为病因学扩展记录，但当前未提取可靠单基因靶点或病因过于间接,
237,#133780,133780,#,EXUDATIVE VITREORETINOPATHY 1; EVR1,"RETINOPATHY OF PREMATURITY, INCLUDED; ROP, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
238,#141500,141500,#,"MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1","MIGRAINE, FAMILIAL HEMIPLEGIC 1, WITH PROGRESSIVE CEREBELLAR ATAXIA, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
239,#300653,300653,#,PHOSPHOGLYCERATE KINASE 1 DEFICIENCY,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
240,#300845,300845,#,"MOYAMOYA DISEASE 4 WITH SHORT STATURE, HYPERGONADOTROPIC HYPOGONADISM, AND FACIAL DYSMORPHISM; MYMY4",,Extended_etiologic_record,moyamoya,Pediatric/mixed,true,false,verified_phenotype_gene_link,BRCC3,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/79184
241,#301054,301054,#,VEXAS SYNDROME; VEXAS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
245,#215700,215700,#,"CITRULLINEMIA, CLASSIC",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
246,#237300,237300,#,"CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
255,#263300,263300,#,POLYCYTHEMIA VERA; PV,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
257,%611775,611775,%,KAWASAKI DISEASE,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
259,#545000,545000,#,MYOCLONIC EPILEPSY ASSOCIATED WITH RAGGED-RED FIBERS; MERRF,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
260,#601005,601005,#,TIMOTHY SYNDROME; TS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
263,#300908,300908,#,"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 1; CNSHA1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
267,#260920,260920,#,HYPER-IgD SYNDROME; HIDS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
268,#312170,312170,#,PYRUVATE DEHYDROGENASE E1-ALPHA DEFICIENCY; PDHAD,"LACTIC ACIDEMIA, THIAMINE-RESPONSIVE, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
273,#116860,116860,#,CEREBRAL CAVERNOUS MALFORMATIONS; CCM,"CEREBRAL CAVERNOUS MALFORMATIONS 1, INCLUDED; CCM1, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,以出血性脑血管病或血管畸形为主，排除AIS主线,
274,#152700,152700,#,SYSTEMIC LUPUS ERYTHEMATOSUS; SLE,"EXCESS LYMPHOCYTE LOW MOLECULAR WEIGHT DNA, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
275,#612932,612932,#,GLYCOGEN STORAGE DISEASE XIII; GSD13,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
276,#137800,137800,#,GLIOMA SUSCEPTIBILITY 1; GLM1,"GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
281,#160980,160980,#,"CARNEY COMPLEX, TYPE 1; CNC1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
282,#612067,612067,#,DYSTONIA 16; DYT16,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
283,#612797,612797,#,HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 12; HDLCQ12,,Excluded,thrombophilia,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
284,#618672,618672,#,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
285,#130050,130050,#,"EHLERS-DANLOS SYNDROME, VASCULAR TYPE; EDSVASC",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
286,#602501,602501,#,MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
287,#300868,300868,#,MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2; MCAHS2,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
288,#620410,620410,#,LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 3; LDLCQ3,"STATINS, RESPONSE TO, INCLUDED",Excluded,thrombophilia,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
304,#212065,212065,#,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
305,#619272,619272,#,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 37; MC1DN37",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
306,#619329,619329,#,"FIBROMUSCULAR DYSPLASIA, MULTIFOCAL; FMDMF",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
308,#235200,235200,#,"HEMOCHROMATOSIS, TYPE 1; HFE1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
309,#256040,256040,#,PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 1; PRAAS1,"PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 1, DIGENIC, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
310,#305390,305390,#,"EXUDATIVE VITREORETINOPATHY 2, X-LINKED; EVR2",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
311,#143100,143100,#,HUNTINGTON DISEASE; HD,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
315,#154700,154700,#,MARFAN SYNDROME; MFS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
316,#203700,203700,#,MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE); MTDPS4A,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
317,#220111,220111,#,"MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 5; MC4DN5",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
319,#242900,242900,#,SCHIMKE IMMUNOOSSEOUS DYSPLASIA; SIOD,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
320,#614028,614028,#,APOLIPOPROTEIN C-III DEFICIENCY,,Excluded,thrombophilia,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
322,#617397,617397,#,PSEUDO-TORCH SYNDROME 2; PTORCH2,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
323,#246650,246650,#,"LIPASE DEFICIENCY, COMBINED",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
324,#238600,238600,#,"HYPERLIPOPROTEINEMIA, TYPE I","HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 11, INCLUDED; HDLCQ11, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
336,#252010,252010,#,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 1; MC1DN1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
337,#302060,302060,#,BARTH SYNDROME; BTHS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
342,#614521,614521,#,THROMBOCYTHEMIA 3; THCYT3,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
343,#232800,232800,#,GLYCOGEN STORAGE DISEASE VII; GSD7,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
344,#143890,143890,#,"HYPERCHOLESTEROLEMIA, FAMILIAL, 1; FHCL1","LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 2, INCLUDED; LDLCQ2, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
345,#614008,614008,#,NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
363,#103900,103900,#,"HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
364,#104310,104310,#,ALZHEIMER DISEASE 2; AD2,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
365,#112410,112410,#,HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB,,Extended_etiologic_record,upstream_hypertension,Adult/mixed,false,false,verified_phenotype_gene_link,PDE3A,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/5139
366,#176860,176860,#,"THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL DOMINANT; THPH3","PROTEIN C DEFICIENCY, ACQUIRED, INCLUDED",Extended_etiologic_record,thrombophilia,Mixed,false,true,verified_phenotype_gene_link,PROC,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/5624
367,#177200,177200,#,LIDDLE SYNDROME 1; LIDLS1,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
368,#619780,619780,#,MITOCHONDRIAL DNA DEPLETION SYNDROME 20 (MNGIE TYPE); MTDPS20,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
376,#105400,105400,#,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,"AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
377,#186580,186580,#,BLAU SYNDROME; BLAUS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
378,#231005,231005,#,"GAUCHER DISEASE, TYPE IIIC; GD3C",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
379,%602440,602440,%,"AMYOTROPHY, MONOMELIC",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
380,245650,245650,,"LARSEN-LIKE SYNDROME, LETHAL TYPE",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
393,#600880,600880,#,BUDD-CHIARI SYNDROME; BDCHS,"MEMBRANOUS OBSTRUCTION OF INFERIOR VENA CAVA, INCLUDED; MOVC, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
394,#225750,225750,#,AICARDI-GOUTIERES SYNDROME 1; AGS1,"AICARDI-GOUTIERES SYNDROME 1, AUTOSOMAL DOMINANT, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
395,#603075,603075,#,"MACULAR DEGENERATION, AGE-RELATED, 1; ARMD1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
396,#258450,258450,#,"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 1; PEOB1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
397,#271245,271245,#,MITOCHONDRIAL DNA DEPLETION SYNDROME 7 (HEPATOCEREBRAL TYPE); MTDPS7,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
